Ticker,Date,V,P,AV,R,DRSD,YR,R01,R02,R03,R04,R05,R06,R07,R08,R09,R10,R11,R12,AV01,AV02,AV03,AV04,AV05,AV06,AV07,AV08,AV09,AV10,AV11,AV12,DRSD01,DRSD02,DRSD03,DRSD04,DRSD05,DRSD06,DRSD07,DRSD08,DRSD09,DRSD10,DRSD11,DRSD12,RC,RC01,RC02,RC03,RC04,RC05,RC06,RC07,RC08,RC09,RC10,RC11,RC12,AVC,AVC01,AVC02,AVC03,AVC04,AVC05,AVC06,AVC07,AVC08,AVC09,AVC10,AVC11,AVC12,SDC,SDC01,SDC02,SDC03,SDC04,SDC05,SDC06,SDC07,SDC08,SDC09,SDC10,SDC11,SDC12,RT,RT01,RT02,RT03,RT04,RT05,RT06,RT07,RT08,RT09,RT10,RT11,RT12,AVT,AVT01,AVT02,AVT03,AVT04,AVT05,AVT06,AVT07,AVT08,AVT09,AVT10,AVT11,AVT12,SDT,SDT01,SDT02,SDT03,SDT04,SDT05,SDT06,SDT07,SDT08,SDT09,SDT10,SDT11,SDT12
DIA,2003-11-26,397.5915,69.8689,501.6044,0.0035,0.0062,0.0564,0.0336,-0.0106,0.0680,-0.0249,0.0274,0.0487,0.0464,0.0526,0.0123,-0.1205,0.0509,-0.0126,525.0413,551.7440,534.8989,641.6801,681.2345,719.2791,725.9543,916.8004,645.2957,662.8478,498.5661,607.1514,0.0060,0.0086,0.0050,0.0092,0.0101,0.0092,0.0111,0.0153,0.0148,0.0109,0.0139,0.0138,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.8327,-0.2971,-1.2698,0.7133,-0.4355,-0.5085,-0.0994,0.2677,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.6338,-0.6066,-0.5458,-0.5144,-0.5456,-0.5692,-0.6077,-0.6364,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.5237,-0.6688,-0.1758,-0.0853,-0.1794,-0.5244,-0.3264,-0.5143,-0.2358,0.3730,-0.4824,0.9486,-0.4611,0.2049,0.6156,0.7107,0.8333,0.4222,-1.3818,0.8385,-0.0181,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.5370,-0.4469,-0.2892,0.6102,-0.3200,-0.2823,-0.8879,-0.3927,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273,-0.8918,-1.2031,-0.9577,-0.1968,-0.2081,-0.7756,-0.3086,-0.2836
DIA,2003-12-26,215.6794,73.8068,611.1426,0.0564,0.0053,0.0299,0.0035,0.0336,-0.0106,0.0680,-0.0249,0.0274,0.0487,0.0464,0.0526,0.0123,-0.1205,0.0509,501.6044,525.0413,551.7440,534.8989,641.6801,681.2345,719.2791,725.9543,916.8004,645.2957,662.8478,498.5661,0.0062,0.0060,0.0086,0.0050,0.0092,0.0101,0.0092,0.0111,0.0153,0.0148,0.0109,0.0139,1.2730,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.8327,-0.2971,-1.2698,0.7133,-0.4355,-0.5085,-0.0994,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.6338,-0.6066,-0.5458,-0.5144,-0.5456,-0.5692,-0.6077,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.5237,-0.6688,-0.1758,-0.0853,-0.1794,-0.5244,-0.3264,0.7811,-0.2358,0.3730,-0.4824,0.9486,-0.4611,0.2049,0.6156,0.7107,0.8333,0.4222,-1.3818,0.8385,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.5370,-0.4469,-0.2892,0.6102,-0.3200,-0.2823,-0.8879,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273,-0.8918,-1.2031,-0.9577,-0.1968,-0.2081,-0.7756,-0.3086
DIA,2004-01-27,601.4632,76.0147,789.1473,0.0299,0.0074,0.0016,0.0564,0.0035,0.0336,-0.0106,0.0680,-0.0249,0.0274,0.0487,0.0464,0.0526,0.0123,-0.1205,611.1426,501.6044,525.0413,551.7440,534.8989,641.6801,681.2345,719.2791,725.9543,916.8004,645.2957,662.8478,0.0053,0.0062,0.0060,0.0086,0.0050,0.0092,0.0101,0.0092,0.0111,0.0153,0.0148,0.0109,-1.4123,1.2730,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.8327,-0.2971,-1.2698,0.7133,-0.4355,-0.5085,-0.6533,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.6338,-0.6066,-0.5458,-0.5144,-0.5456,-0.5692,-0.0895,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.5237,-0.6688,-0.1758,-0.0853,-0.1794,-0.5244,0.0461,0.7811,-0.2358,0.3730,-0.4824,0.9486,-0.4611,0.2049,0.6156,0.7107,0.8333,0.4222,-1.3818,1.1095,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.5370,-0.4469,-0.2892,0.6102,-0.3200,-0.2823,-0.4763,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273,-0.8918,-1.2031,-0.9577,-0.1968,-0.2081,-0.7756
DIA,2004-02-25,447.3466,76.1337,656.7833,0.0016,0.0051,-0.0505,0.0299,0.0564,0.0035,0.0336,-0.0106,0.0680,-0.0249,0.0274,0.0487,0.0464,0.0526,0.0123,789.1473,611.1426,501.6044,525.0413,551.7440,534.8989,641.6801,681.2345,719.2791,725.9543,916.8004,645.2957,0.0074,0.0053,0.0062,0.0060,0.0086,0.0050,0.0092,0.0101,0.0092,0.0111,0.0153,0.0148,0.6145,-1.4123,1.2730,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.8327,-0.2971,-1.2698,0.7133,-0.4355,-0.7276,-0.6533,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.6338,-0.6066,-0.5458,-0.5144,-0.5456,-1.0187,-0.0895,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.5237,-0.6688,-0.1758,-0.0853,-0.1794,-0.8946,0.0461,0.7811,-0.2358,0.3730,-0.4824,0.9486,-0.4611,0.2049,0.6156,0.7107,0.8333,0.4222,0.0178,1.1095,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.5370,-0.4469,-0.2892,0.6102,-0.3200,-1.0104,-0.4763,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273,-0.8918,-1.2031,-0.9577,-0.1968,-0.2081
DIA,2004-03-24,836.8598,72.2874,791.6334,-0.0505,0.0082,0.0413,0.0016,0.0299,0.0564,0.0035,0.0336,-0.0106,0.0680,-0.0249,0.0274,0.0487,0.0464,0.0526,656.7833,789.1473,611.1426,501.6044,525.0413,551.7440,534.8989,641.6801,681.2345,719.2791,725.9543,916.8004,0.0051,0.0074,0.0053,0.0062,0.0060,0.0086,0.0050,0.0092,0.0101,0.0092,0.0111,0.0153,-0.4090,0.6145,-1.4123,1.2730,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.8327,-0.2971,-1.2698,0.7133,-0.7051,-0.7276,-0.6533,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.6338,-0.6066,-0.5458,-0.5144,-1.0047,-1.0187,-0.0895,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.5237,-0.6688,-0.1758,-0.0853,-1.9514,-0.8946,0.0461,0.7811,-0.2358,0.3730,-0.4824,0.9486,-0.4611,0.2049,0.6156,0.7107,0.8333,1.4566,0.0178,1.1095,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.5370,-0.4469,-0.2892,0.6102,0.2646,-1.0104,-0.4763,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273,-0.8918,-1.2031,-0.9577,-0.1968
DIA,2004-04-22,960.6989,75.2730,647.2714,0.0413,0.0080,-0.0457,-0.0505,0.0016,0.0299,0.0564,0.0035,0.0336,-0.0106,0.0680,-0.0249,0.0274,0.0487,0.0464,791.6334,656.7833,789.1473,611.1426,501.6044,525.0413,551.7440,534.8989,641.6801,681.2345,719.2791,725.9543,0.0082,0.0051,0.0074,0.0053,0.0062,0.0060,0.0086,0.0050,0.0092,0.0101,0.0092,0.0111,-0.8025,-0.4090,0.6145,-1.4123,1.2730,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.8327,-0.2971,-1.2698,-0.7335,-0.7051,-0.7276,-0.6533,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.6338,-0.6066,-0.5458,-0.6862,-1.0047,-1.0187,-0.0895,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.5237,-0.6688,-0.1758,0.6394,-1.9514,-0.8946,0.0461,0.7811,-0.2358,0.3730,-0.4824,0.9486,-0.4611,0.2049,0.6156,0.7107,0.0985,1.4566,0.0178,1.1095,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.5370,-0.4469,-0.2892,0.3493,0.2646,-1.0104,-0.4763,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273,-0.8918,-1.2031,-0.9577
DIA,2004-05-20,819.2538,71.8329,860.0111,-0.0457,0.0069,0.0419,0.0413,-0.0505,0.0016,0.0299,0.0564,0.0035,0.0336,-0.0106,0.0680,-0.0249,0.0274,0.0487,647.2714,791.6334,656.7833,789.1473,611.1426,501.6044,525.0413,551.7440,534.8989,641.6801,681.2345,719.2791,0.0080,0.0082,0.0051,0.0074,0.0053,0.0062,0.0060,0.0086,0.0050,0.0092,0.0101,0.0092,0.5670,-0.8025,-0.4090,0.6145,-1.4123,1.2730,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.8327,-0.2971,-0.7214,-0.7335,-0.7051,-0.7276,-0.6533,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.6338,-0.6066,-1.0491,-0.6862,-1.0047,-1.0187,-0.0895,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.5237,-0.6688,-1.4704,0.6394,-1.9514,-0.8946,0.0461,0.7811,-0.2358,0.3730,-0.4824,0.9486,-0.4611,0.2049,0.6156,1.8244,0.0985,1.4566,0.0178,1.1095,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.5370,-0.4469,-0.1599,0.3493,0.2646,-1.0104,-0.4763,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273,-0.8918,-1.2031
DIA,2004-06-21,431.0399,74.8460,556.7996,0.0419,0.0058,-0.0176,-0.0457,0.0413,-0.0505,0.0016,0.0299,0.0564,0.0035,0.0336,-0.0106,0.0680,-0.0249,0.0274,860.0111,647.2714,791.6334,656.7833,789.1473,611.1426,501.6044,525.0413,551.7440,534.8989,641.6801,681.2345,0.0069,0.0080,0.0082,0.0051,0.0074,0.0053,0.0062,0.0060,0.0086,0.0050,0.0092,0.0101,0.1785,0.5670,-0.8025,-0.4090,0.6145,-1.4123,1.2730,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.8327,-0.7381,-0.7214,-0.7335,-0.7051,-0.7276,-0.6533,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.6338,-1.0776,-1.0491,-0.6862,-1.0047,-1.0187,-0.0895,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.5237,0.7624,-1.4704,0.6394,-1.9514,-0.8946,0.0461,0.7811,-0.2358,0.3730,-0.4824,0.9486,-0.4611,0.2049,-0.6970,1.8244,0.0985,1.4566,0.0178,1.1095,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.5370,-0.6935,-0.1599,0.3493,0.2646,-1.0104,-0.4763,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273,-0.8918
DIA,2004-07-20,537.0742,73.5304,598.5264,-0.0176,0.0057,-0.0162,0.0419,-0.0457,0.0413,-0.0505,0.0016,0.0299,0.0564,0.0035,0.0336,-0.0106,0.0680,-0.0249,556.7996,860.0111,647.2714,791.6334,656.7833,789.1473,611.1426,501.6044,525.0413,551.7440,534.8989,641.6801,0.0058,0.0069,0.0080,0.0082,0.0051,0.0074,0.0053,0.0062,0.0060,0.0086,0.0050,0.0092,-0.5342,0.1785,0.5670,-0.8025,-0.4090,0.6145,-1.4123,1.2730,-0.5789,-0.6788,0.2575,-0.8812,1.1135,-0.7401,-0.7381,-0.7214,-0.7335,-0.7051,-0.7276,-0.6533,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.6598,-0.8345,-1.0776,-1.0491,-0.6862,-1.0047,-1.0187,-0.0895,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.5874,-0.7818,0.7624,-1.4704,0.6394,-1.9514,-0.8946,0.0461,0.7811,-0.2358,0.3730,-0.4824,0.9486,-0.4611,-0.3111,-0.6970,1.8244,0.0985,1.4566,0.0178,1.1095,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,-0.6044,-0.6188,-0.6935,-0.1599,0.3493,0.2646,-1.0104,-0.4763,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336,-0.9273
DIA,2004-08-17,596.1767,72.3397,709.2779,-0.0162,0.0084,0.0258,-0.0176,0.0419,-0.0457,0.0413,-0.0505,0.0016,0.0299,0.0564,0.0035,0.0336,-0.0106,0.0680,598.5264,556.7996,860.0111,647.2714,791.6334,656.7833,789.1473,611.1426,501.6044,525.0413,551.7440,534.8989,0.0057,0.0058,0.0069,0.0080,0.0082,0.0051,0.0074,0.0053,0.0062,0.0060,0.0086,0.0050,1.0320,-0.5342,0.1785,0.5670,-0.8025,-0.4090,0.6145,-1.4123,1.2730,-0.5789,-0.6788,0.2575,-0.8812,-0.7032,-0.7401,-0.7381,-0.7214,-0.7335,-0.7051,-0.7276,-0.6533,-0.7006,-0.7344,-0.7231,-0.7299,-0.6516,-0.8623,-0.8345,-1.0776,-1.0491,-0.6862,-1.0047,-1.0187,-0.0895,-0.8908,-0.8050,-0.7137,-0.7885,-0.8752,-0.6202,-0.7818,0.7624,-1.4704,0.6394,-1.9514,-0.8946,0.0461,0.7811,-0.2358,0.3730,-0.4824,0.9486,0.5131,-0.3111,-0.6970,1.8244,0.0985,1.4566,0.0178,1.1095,-0.2791,-1.0846,-1.0213,-0.9040,-1.0003,1.2570,-0.6188,-0.6935,-0.1599,0.3493,0.2646,-1.0104,-0.4763,-1.1808,-1.1325,-1.4097,-0.8686,-1.4336
