Date,RT DIA,RT MDY,RT QQQ,RT SPY,RT01 DIA,RT01 MDY,RT01 QQQ,RT01 SPY,RT02 DIA,RT02 MDY,RT02 QQQ,RT02 SPY,RT03 DIA,RT03 MDY,RT03 QQQ,RT03 SPY,RT04 DIA,RT04 MDY,RT04 QQQ,RT04 SPY,RT05 DIA,RT05 MDY,RT05 QQQ,RT05 SPY,RT06 DIA,RT06 MDY,RT06 QQQ,RT06 SPY,RT07 DIA,RT07 MDY,RT07 QQQ,RT07 SPY,RT08 DIA,RT08 MDY,RT08 QQQ,RT08 SPY,RT09 DIA,RT09 MDY,RT09 QQQ,RT09 SPY,RT10 DIA,RT10 MDY,RT10 QQQ,RT10 SPY,RT11 DIA,RT11 MDY,RT11 QQQ,RT11 SPY,RT12 DIA,RT12 MDY,RT12 QQQ,RT12 SPY,AVT DIA,AVT MDY,AVT QQQ,AVT SPY,AVT01 DIA,AVT01 MDY,AVT01 QQQ,AVT01 SPY,AVT02 DIA,AVT02 MDY,AVT02 QQQ,AVT02 SPY,AVT03 DIA,AVT03 MDY,AVT03 QQQ,AVT03 SPY,AVT04 DIA,AVT04 MDY,AVT04 QQQ,AVT04 SPY,AVT05 DIA,AVT05 MDY,AVT05 QQQ,AVT05 SPY,AVT06 DIA,AVT06 MDY,AVT06 QQQ,AVT06 SPY,AVT07 DIA,AVT07 MDY,AVT07 QQQ,AVT07 SPY,AVT08 DIA,AVT08 MDY,AVT08 QQQ,AVT08 SPY,AVT09 DIA,AVT09 MDY,AVT09 QQQ,AVT09 SPY,AVT10 DIA,AVT10 MDY,AVT10 QQQ,AVT10 SPY,AVT11 DIA,AVT11 MDY,AVT11 QQQ,AVT11 SPY,AVT12 DIA,AVT12 MDY,AVT12 QQQ,AVT12 SPY,SDT DIA,SDT MDY,SDT QQQ,SDT SPY,SDT01 DIA,SDT01 MDY,SDT01 QQQ,SDT01 SPY,SDT02 DIA,SDT02 MDY,SDT02 QQQ,SDT02 SPY,SDT03 DIA,SDT03 MDY,SDT03 QQQ,SDT03 SPY,SDT04 DIA,SDT04 MDY,SDT04 QQQ,SDT04 SPY,SDT05 DIA,SDT05 MDY,SDT05 QQQ,SDT05 SPY,SDT06 DIA,SDT06 MDY,SDT06 QQQ,SDT06 SPY,SDT07 DIA,SDT07 MDY,SDT07 QQQ,SDT07 SPY,SDT08 DIA,SDT08 MDY,SDT08 QQQ,SDT08 SPY,SDT09 DIA,SDT09 MDY,SDT09 QQQ,SDT09 SPY,SDT10 DIA,SDT10 MDY,SDT10 QQQ,SDT10 SPY,SDT11 DIA,SDT11 MDY,SDT11 QQQ,SDT11 SPY,SDT12 DIA,SDT12 MDY,SDT12 QQQ,SDT12 SPY
2003-11-26,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,0.2049,0.5116,0.6062,0.2001,0.6156,0.7148,0.3112,0.5143,0.7107,1.2397,0.9533,0.8923,0.8333,0.8286,0.1556,0.7076,0.4222,0.2997,0.8864,0.5142,-1.3818,-1.0760,-0.8522,-1.1834,0.8385,0.5497,0.9906,0.8006,-0.0181,0.1594,-0.0691,0.0323,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.5370,-0.2578,1.4207,-0.4725,-0.4469,-1.0565,0.7092,0.0522,-0.2892,-1.4247,-0.5448,0.1300,0.6102,-0.9874,-0.2754,1.0893,-0.3200,-1.7764,-1.1710,0.3455,-0.2823,-1.2385,-1.0702,0.5856,-0.8879,-1.5939,-1.7746,-0.3782,-0.3927,0.0752,-1.1892,0.2799,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363,-0.8918,-0.8835,-0.6391,-0.8126,-1.2031,-0.9094,-1.0327,-1.1769,-0.9577,-1.1633,-1.3664,-0.9833,-0.1968,-0.5601,-0.9043,-0.3436,-0.2081,-0.7339,-0.7883,-0.2868,-0.7756,-0.9594,-1.3873,-0.7270,-0.3086,-0.5982,-1.1060,-0.4366,-0.2836,-0.3656,-0.2876,-0.3039
2003-12-26,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,0.2049,0.5116,0.6062,0.2001,0.6156,0.7148,0.3112,0.5143,0.7107,1.2397,0.9533,0.8923,0.8333,0.8286,0.1556,0.7076,0.4222,0.2997,0.8864,0.5142,-1.3818,-1.0760,-0.8522,-1.1834,0.8385,0.5497,0.9906,0.8006,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.5370,-0.2578,1.4207,-0.4725,-0.4469,-1.0565,0.7092,0.0522,-0.2892,-1.4247,-0.5448,0.1300,0.6102,-0.9874,-0.2754,1.0893,-0.3200,-1.7764,-1.1710,0.3455,-0.2823,-1.2385,-1.0702,0.5856,-0.8879,-1.5939,-1.7746,-0.3782,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363,-0.8918,-0.8835,-0.6391,-0.8126,-1.2031,-0.9094,-1.0327,-1.1769,-0.9577,-1.1633,-1.3664,-0.9833,-0.1968,-0.5601,-0.9043,-0.3436,-0.2081,-0.7339,-0.7883,-0.2868,-0.7756,-0.9594,-1.3873,-0.7270,-0.3086,-0.5982,-1.1060,-0.4366
2004-01-27,0.0461,0.2643,0.2259,0.4586,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,0.2049,0.5116,0.6062,0.2001,0.6156,0.7148,0.3112,0.5143,0.7107,1.2397,0.9533,0.8923,0.8333,0.8286,0.1556,0.7076,0.4222,0.2997,0.8864,0.5142,-1.3818,-1.0760,-0.8522,-1.1834,1.1095,1.8691,1.0548,-0.3511,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.5370,-0.2578,1.4207,-0.4725,-0.4469,-1.0565,0.7092,0.0522,-0.2892,-1.4247,-0.5448,0.1300,0.6102,-0.9874,-0.2754,1.0893,-0.3200,-1.7764,-1.1710,0.3455,-0.2823,-1.2385,-1.0702,0.5856,-0.4763,-1.7507,-1.1652,-0.7999,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363,-0.8918,-0.8835,-0.6391,-0.8126,-1.2031,-0.9094,-1.0327,-1.1769,-0.9577,-1.1633,-1.3664,-0.9833,-0.1968,-0.5601,-0.9043,-0.3436,-0.2081,-0.7339,-0.7883,-0.2868,-0.7756,-0.9594,-1.3873,-0.7270
2004-02-25,-0.8946,-1.0123,-1.0993,-0.7837,0.0461,0.2643,0.2259,0.4586,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,0.2049,0.5116,0.6062,0.2001,0.6156,0.7148,0.3112,0.5143,0.7107,1.2397,0.9533,0.8923,0.8333,0.8286,0.1556,0.7076,0.4222,0.2997,0.8864,0.5142,0.0178,1.6091,1.8543,0.8181,1.1095,1.8691,1.0548,-0.3511,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.5370,-0.2578,1.4207,-0.4725,-0.4469,-1.0565,0.7092,0.0522,-0.2892,-1.4247,-0.5448,0.1300,0.6102,-0.9874,-0.2754,1.0893,-0.3200,-1.7764,-1.1710,0.3455,-1.0104,-0.4253,-1.2110,-0.8823,-0.4763,-1.7507,-1.1652,-0.7999,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363,-0.8918,-0.8835,-0.6391,-0.8126,-1.2031,-0.9094,-1.0327,-1.1769,-0.9577,-1.1633,-1.3664,-0.9833,-0.1968,-0.5601,-0.9043,-0.3436,-0.2081,-0.7339,-0.7883,-0.2868
2004-03-24,-1.9514,-1.3318,-1.3702,-1.6283,-0.8946,-1.0123,-1.0993,-0.7837,0.0461,0.2643,0.2259,0.4586,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,0.2049,0.5116,0.6062,0.2001,0.6156,0.7148,0.3112,0.5143,0.7107,1.2397,0.9533,0.8923,0.8333,0.8286,0.1556,0.7076,1.4566,1.6291,1.8989,2.6079,0.0178,1.6091,1.8543,0.8181,1.1095,1.8691,1.0548,-0.3511,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.5370,-0.2578,1.4207,-0.4725,-0.4469,-1.0565,0.7092,0.0522,-0.2892,-1.4247,-0.5448,0.1300,0.6102,-0.9874,-0.2754,1.0893,0.2646,0.7216,-0.4330,0.4355,-1.0104,-0.4253,-1.2110,-0.8823,-0.4763,-1.7507,-1.1652,-0.7999,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363,-0.8918,-0.8835,-0.6391,-0.8126,-1.2031,-0.9094,-1.0327,-1.1769,-0.9577,-1.1633,-1.3664,-0.9833,-0.1968,-0.5601,-0.9043,-0.3436
2004-04-22,0.6394,0.6896,0.8237,0.6623,-1.9514,-1.3318,-1.3702,-1.6283,-0.8946,-1.0123,-1.0993,-0.7837,0.0461,0.2643,0.2259,0.4586,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,0.2049,0.5116,0.6062,0.2001,0.6156,0.7148,0.3112,0.5143,0.7107,1.2397,0.9533,0.8923,0.0985,1.1691,1.4270,1.6088,1.4566,1.6291,1.8989,2.6079,0.0178,1.6091,1.8543,0.8181,1.1095,1.8691,1.0548,-0.3511,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.5370,-0.2578,1.4207,-0.4725,-0.4469,-1.0565,0.7092,0.0522,-0.2892,-1.4247,-0.5448,0.1300,0.3493,0.3962,0.3517,0.1903,0.2646,0.7216,-0.4330,0.4355,-1.0104,-0.4253,-1.2110,-0.8823,-0.4763,-1.7507,-1.1652,-0.7999,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363,-0.8918,-0.8835,-0.6391,-0.8126,-1.2031,-0.9094,-1.0327,-1.1769,-0.9577,-1.1633,-1.3664,-0.9833
2004-05-20,-1.4704,-1.8159,-1.1287,-1.3232,0.6394,0.6896,0.8237,0.6623,-1.9514,-1.3318,-1.3702,-1.6283,-0.8946,-1.0123,-1.0993,-0.7837,0.0461,0.2643,0.2259,0.4586,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,0.2049,0.5116,0.6062,0.2001,0.6156,0.7148,0.3112,0.5143,1.8244,2.1330,1.9561,1.7771,0.0985,1.1691,1.4270,1.6088,1.4566,1.6291,1.8989,2.6079,0.0178,1.6091,1.8543,0.8181,1.1095,1.8691,1.0548,-0.3511,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.5370,-0.2578,1.4207,-0.4725,-0.4469,-1.0565,0.7092,0.0522,-0.1599,0.7191,-0.7935,-0.0143,0.3493,0.3962,0.3517,0.1903,0.2646,0.7216,-0.4330,0.4355,-1.0104,-0.4253,-1.2110,-0.8823,-0.4763,-1.7507,-1.1652,-0.7999,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363,-0.8918,-0.8835,-0.6391,-0.8126,-1.2031,-0.9094,-1.0327,-1.1769
2004-06-21,0.7624,0.6737,0.4393,0.6364,-1.4704,-1.8159,-1.1287,-1.3232,0.6394,0.6896,0.8237,0.6623,-1.9514,-1.3318,-1.3702,-1.6283,-0.8946,-1.0123,-1.0993,-0.7837,0.0461,0.2643,0.2259,0.4586,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,0.2049,0.5116,0.6062,0.2001,-0.6970,-0.2840,0.1464,-0.3539,1.8244,2.1330,1.9561,1.7771,0.0985,1.1691,1.4270,1.6088,1.4566,1.6291,1.8989,2.6079,0.0178,1.6091,1.8543,0.8181,1.1095,1.8691,1.0548,-0.3511,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.5370,-0.2578,1.4207,-0.4725,-0.6935,0.4547,-0.6798,-0.2942,-0.1599,0.7191,-0.7935,-0.0143,0.3493,0.3962,0.3517,0.1903,0.2646,0.7216,-0.4330,0.4355,-1.0104,-0.4253,-1.2110,-0.8823,-0.4763,-1.7507,-1.1652,-0.7999,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363,-0.8918,-0.8835,-0.6391,-0.8126
2004-07-20,-0.7818,-0.4400,-0.6222,-0.7813,0.7624,0.6737,0.4393,0.6364,-1.4704,-1.8159,-1.1287,-1.3232,0.6394,0.6896,0.8237,0.6623,-1.9514,-1.3318,-1.3702,-1.6283,-0.8946,-1.0123,-1.0993,-0.7837,0.0461,0.2643,0.2259,0.4586,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,-0.4611,-0.7336,-0.8772,-0.7796,-0.3111,-0.0823,0.4948,0.1784,-0.6970,-0.2840,0.1464,-0.3539,1.8244,2.1330,1.9561,1.7771,0.0985,1.1691,1.4270,1.6088,1.4566,1.6291,1.8989,2.6079,0.0178,1.6091,1.8543,0.8181,1.1095,1.8691,1.0548,-0.3511,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,-0.6044,-0.8027,1.8774,0.4593,-0.6188,-0.4875,-0.1571,-0.5235,-0.6935,0.4547,-0.6798,-0.2942,-0.1599,0.7191,-0.7935,-0.0143,0.3493,0.3962,0.3517,0.1903,0.2646,0.7216,-0.4330,0.4355,-1.0104,-0.4253,-1.2110,-0.8823,-0.4763,-1.7507,-1.1652,-0.7999,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654,-0.9273,-0.7944,-0.9122,-0.9363
2004-08-17,-0.6202,-1.3935,-1.2502,-0.9474,-0.7818,-0.4400,-0.6222,-0.7813,0.7624,0.6737,0.4393,0.6364,-1.4704,-1.8159,-1.1287,-1.3232,0.6394,0.6896,0.8237,0.6623,-1.9514,-1.3318,-1.3702,-1.6283,-0.8946,-1.0123,-1.0993,-0.7837,0.0461,0.2643,0.2259,0.4586,0.7811,-0.2426,-0.1573,0.3664,-0.2358,0.1991,-0.4261,-0.1121,0.3730,0.4745,0.4956,0.2722,-0.4824,-0.5245,-0.6701,-0.4254,0.9486,1.4059,1.0179,0.9396,0.5131,-0.2973,0.4304,1.3173,-0.3111,-0.0823,0.4948,0.1784,-0.6970,-0.2840,0.1464,-0.3539,1.8244,2.1330,1.9561,1.7771,0.0985,1.1691,1.4270,1.6088,1.4566,1.6291,1.8989,2.6079,0.0178,1.6091,1.8543,0.8181,1.1095,1.8691,1.0548,-0.3511,-0.2791,2.0913,0.8848,-1.5347,-1.0846,1.5470,1.0991,-0.6485,-1.0213,0.2017,1.3590,-0.5439,-0.9040,0.9716,2.1533,0.1599,-1.0003,-0.3652,0.0050,-0.8949,1.2570,1.3939,0.7568,1.1540,-0.6188,-0.4875,-0.1571,-0.5235,-0.6935,0.4547,-0.6798,-0.2942,-0.1599,0.7191,-0.7935,-0.0143,0.3493,0.3962,0.3517,0.1903,0.2646,0.7216,-0.4330,0.4355,-1.0104,-0.4253,-1.2110,-0.8823,-0.4763,-1.7507,-1.1652,-0.7999,-1.1808,-0.4484,-1.1085,-1.2187,-1.1325,-0.6723,-0.7467,-1.1382,-1.4097,-1.0119,-0.7876,-1.5697,-0.8686,0.0354,0.0995,-0.6454,-1.4336,-1.2475,-1.7316,-1.4654
