Ticker,Date,V,P
XRAY,2000-01-03,4.56,7.11
XRAY,2000-01-04,2.49,7.11
XRAY,2000-01-05,9.50,7.26
XRAY,2000-01-06,4.26,7.24
XRAY,2000-01-07,11.15,7.22
XRAY,2000-01-10,5.00,7.39
XRAY,2000-01-11,4.74,7.39
XRAY,2000-01-12,8.52,7.23
XRAY,2000-01-13,7.05,7.54
XRAY,2000-01-14,9.56,7.45
XRAY,2000-01-18,4.34,7.30
XRAY,2000-01-19,4.98,7.26
XRAY,2000-01-20,9.04,7.05
XRAY,2000-01-21,15.47,7.22
XRAY,2000-01-24,13.00,7.37
XRAY,2000-01-25,11.91,7.30
XRAY,2000-01-26,4.83,7.37
XRAY,2000-01-27,5.83,7.39
XRAY,2000-01-28,7.51,7.50
XRAY,2000-01-31,11.18,7.48
XRAY,2000-02-01,23.06,7.56
XRAY,2000-02-02,11.17,7.80
XRAY,2000-02-03,17.80,7.84
XRAY,2000-02-04,9.16,7.96
XRAY,2000-02-07,13.32,8.01
XRAY,2000-02-08,3.72,8.00
XRAY,2000-02-09,9.84,7.90
XRAY,2000-02-10,8.76,7.75
XRAY,2000-02-11,8.73,7.67
XRAY,2000-02-14,6.30,7.58
XRAY,2000-02-15,13.07,7.52
XRAY,2000-02-16,13.10,7.67
XRAY,2000-02-17,7.93,7.55
XRAY,2000-02-18,9.29,7.56
XRAY,2000-02-22,5.52,7.64
XRAY,2000-02-23,6.55,7.77
XRAY,2000-02-24,10.06,7.62
XRAY,2000-02-25,7.48,7.71
XRAY,2000-02-28,7.13,7.61
XRAY,2000-02-29,8.30,7.75
XRAY,2000-03-01,7.01,7.80
XRAY,2000-03-02,10.07,7.75
XRAY,2000-03-03,4.24,7.83
XRAY,2000-03-06,15.65,7.64
XRAY,2000-03-07,17.93,7.64
XRAY,2000-03-08,11.82,7.52
XRAY,2000-03-09,6.63,7.73
XRAY,2000-03-10,6.74,7.65
XRAY,2000-03-13,7.05,7.55
XRAY,2000-03-14,12.02,7.59
XRAY,2000-03-15,5.89,7.90
XRAY,2000-03-16,7.40,8.16
XRAY,2000-03-17,5.53,8.07
XRAY,2000-03-20,7.74,8.33
XRAY,2000-03-21,5.43,8.45
XRAY,2000-03-22,4.07,8.33
XRAY,2000-03-23,7.81,8.24
XRAY,2000-03-24,2.77,8.09
XRAY,2000-03-27,4.20,8.24
XRAY,2000-03-28,11.40,8.58
XRAY,2000-03-29,5.99,8.33
XRAY,2000-03-30,17.51,8.20
XRAY,2000-03-31,25.01,8.60
XRAY,2000-04-03,4.13,8.30
XRAY,2000-04-04,7.66,8.32
XRAY,2000-04-05,6.87,8.33
XRAY,2000-04-06,7.59,8.37
XRAY,2000-04-07,3.94,8.43
XRAY,2000-04-10,4.47,8.30
XRAY,2000-04-11,5.32,8.32
XRAY,2000-04-12,5.55,8.60
XRAY,2000-04-13,5.70,8.56
XRAY,2000-04-14,10.27,8.18
XRAY,2000-04-17,4.63,8.33
XRAY,2000-04-18,6.01,8.56
XRAY,2000-04-19,10.03,8.20
XRAY,2000-04-20,4.42,8.70
XRAY,2000-04-24,2.59,8.49
XRAY,2000-04-25,7.74,8.85
XRAY,2000-04-26,9.02,8.79
XRAY,2000-04-27,8.77,8.96
XRAY,2000-04-28,3.23,8.81
XRAY,2000-05-01,10.07,8.79
XRAY,2000-05-02,6.29,8.73
XRAY,2000-05-03,4.64,8.56
XRAY,2000-05-04,11.72,8.95
XRAY,2000-05-05,5.93,9.07
XRAY,2000-05-08,8.37,9.24
XRAY,2000-05-09,7.62,9.23
XRAY,2000-05-10,3.46,9.11
XRAY,2000-05-11,6.94,9.24
XRAY,2000-05-12,5.14,9.06
XRAY,2000-05-15,11.01,9.89
XRAY,2000-05-16,9.64,9.62
XRAY,2000-05-17,8.21,9.64
XRAY,2000-05-18,7.54,9.43
XRAY,2000-05-19,8.74,9.47
XRAY,2000-05-22,7.54,9.09
XRAY,2000-05-23,5.28,9.24
XRAY,2000-05-24,3.91,9.32
XRAY,2000-05-25,6.75,9.41
XRAY,2000-05-26,2.27,9.49
XRAY,2000-05-30,13.53,9.49
XRAY,2000-05-31,6.24,9.55
XRAY,2000-06-01,7.74,9.34
XRAY,2000-06-02,9.84,9.36
XRAY,2000-06-05,5.85,9.38
XRAY,2000-06-06,5.13,9.45
XRAY,2000-06-07,6.43,9.28
XRAY,2000-06-08,5.40,9.41
XRAY,2000-06-09,3.22,9.41
XRAY,2000-06-12,6.58,9.36
XRAY,2000-06-13,2.99,9.38
XRAY,2000-06-14,5.21,9.40
XRAY,2000-06-15,7.11,9.49
XRAY,2000-06-16,8.80,9.41
XRAY,2000-06-19,6.52,9.62
XRAY,2000-06-20,2.48,9.60
XRAY,2000-06-21,3.23,9.59
XRAY,2000-06-22,13.04,9.62
XRAY,2000-06-23,8.36,9.53
XRAY,2000-06-26,13.76,9.41
XRAY,2000-06-27,36.78,9.05
XRAY,2000-06-28,7.69,9.53
XRAY,2000-06-29,5.44,9.66
XRAY,2000-06-30,20.55,9.36
XRAY,2000-07-03,3.26,9.19
XRAY,2000-07-05,4.91,9.05
XRAY,2000-07-06,6.40,9.45
XRAY,2000-07-07,5.21,9.57
XRAY,2000-07-10,10.79,10.08
XRAY,2000-07-11,15.25,10.04
XRAY,2000-07-12,13.90,10.08
XRAY,2000-07-13,6.98,9.87
XRAY,2000-07-14,19.17,9.69
XRAY,2000-07-17,6.33,9.93
XRAY,2000-07-18,3.40,9.85
XRAY,2000-07-19,4.38,9.70
XRAY,2000-07-20,4.99,9.76
XRAY,2000-07-21,13.33,10.02
XRAY,2000-07-24,9.04,10.02
XRAY,2000-07-25,19.82,10.04
XRAY,2000-07-26,7.80,10.08
XRAY,2000-07-27,14.90,10.32
XRAY,2000-07-28,4.96,10.32
XRAY,2000-07-31,14.82,10.27
XRAY,2000-08-01,16.49,10.49
XRAY,2000-08-02,22.67,10.76
XRAY,2000-08-03,9.48,10.70
XRAY,2000-08-04,33.67,11.18
XRAY,2000-08-07,18.19,11.12
XRAY,2000-08-08,17.98,11.15
XRAY,2000-08-09,5.89,10.93
XRAY,2000-08-10,9.79,10.86
XRAY,2000-08-11,13.77,10.78
XRAY,2000-08-14,13.99,10.70
XRAY,2000-08-15,11.09,10.78
XRAY,2000-08-16,7.38,10.86
XRAY,2000-08-17,18.64,10.86
XRAY,2000-08-18,2.65,10.97
XRAY,2000-08-21,10.32,11.24
XRAY,2000-08-22,8.23,11.08
XRAY,2000-08-23,8.77,10.81
XRAY,2000-08-24,7.90,10.99
XRAY,2000-08-25,14.79,10.44
XRAY,2000-08-28,14.05,10.34
XRAY,2000-08-29,11.04,10.27
XRAY,2000-08-30,18.23,9.91
XRAY,2000-08-31,18.38,10.14
XRAY,2000-09-01,7.69,10.65
XRAY,2000-09-05,4.22,10.23
XRAY,2000-09-06,9.73,10.48
XRAY,2000-09-07,14.24,10.44
XRAY,2000-09-08,11.71,11.08
XRAY,2000-09-11,10.29,10.84
XRAY,2000-09-12,5.48,10.36
XRAY,2000-09-13,3.43,10.45
XRAY,2000-09-14,1.28,10.63
XRAY,2000-09-15,6.08,10.52
XRAY,2000-09-18,5.43,10.46
XRAY,2000-09-19,10.29,10.76
XRAY,2000-09-20,3.71,10.80
XRAY,2000-09-21,9.34,10.99
XRAY,2000-09-22,4.91,10.88
XRAY,2000-09-25,36.16,10.67
XRAY,2000-09-26,15.30,10.67
XRAY,2000-09-27,5.10,10.67
XRAY,2000-09-28,9.15,10.66
XRAY,2000-09-29,7.62,10.63
XRAY,2000-10-02,5.05,10.61
XRAY,2000-10-03,5.21,10.63
XRAY,2000-10-04,9.45,10.51
XRAY,2000-10-05,4.53,10.70
XRAY,2000-10-06,9.42,10.28
XRAY,2000-10-09,2.48,10.46
XRAY,2000-10-10,9.21,10.19
XRAY,2000-10-11,3.97,10.00
XRAY,2000-10-12,5.96,10.00
XRAY,2000-10-13,8.70,9.56
XRAY,2000-10-16,20.59,9.64
XRAY,2000-10-17,14.40,10.15
XRAY,2000-10-18,4.45,9.96
XRAY,2000-10-19,4.31,9.99
XRAY,2000-10-20,13.11,10.67
XRAY,2000-10-23,10.50,10.63
XRAY,2000-10-24,2.76,10.42
XRAY,2000-10-25,8.11,10.91
XRAY,2000-10-26,7.46,10.89
XRAY,2000-10-27,22.20,11.01
XRAY,2000-10-30,3.21,10.89
XRAY,2000-10-31,12.72,10.55
XRAY,2000-11-01,9.42,10.59
XRAY,2000-11-02,13.88,10.67
XRAY,2000-11-03,10.23,10.69
XRAY,2000-11-06,8.26,10.88
XRAY,2000-11-07,14.70,11.01
XRAY,2000-11-08,5.74,11.05
XRAY,2000-11-09,9.74,11.05
XRAY,2000-11-10,7.74,10.69
XRAY,2000-11-13,3.71,10.27
XRAY,2000-11-14,2.69,10.65
XRAY,2000-11-15,4.43,10.61
XRAY,2000-11-16,5.85,10.34
XRAY,2000-11-17,2.43,10.40
XRAY,2000-11-20,5.06,10.49
XRAY,2000-11-21,9.87,10.67
XRAY,2000-11-22,5.59,10.80
XRAY,2000-11-24,5.38,10.82
XRAY,2000-11-27,6.32,10.65
XRAY,2000-11-28,5.50,10.38
XRAY,2000-11-29,13.34,10.63
XRAY,2000-11-30,48.27,11.01
XRAY,2000-12-01,31.40,11.50
XRAY,2000-12-04,21.59,11.56
XRAY,2000-12-05,16.56,10.86
XRAY,2000-12-06,15.73,11.47
XRAY,2000-12-07,7.65,11.16
XRAY,2000-12-08,14.08,11.58
XRAY,2000-12-11,6.91,11.43
XRAY,2000-12-12,9.15,11.22
XRAY,2000-12-13,6.91,11.39
XRAY,2000-12-14,5.55,11.22
XRAY,2000-12-15,14.31,11.33
XRAY,2000-12-18,10.89,11.56
