Ticker,Date,V,P,AV,R,DRSD,YR,Y,pr_0,pr_1,pr_2,Y_pred,Y_mom,Y_rev,Y_rand3,Y_rand2
A,2015-03-12,111.7900,39.9600,98.4765,0.0450,0.0124,0.0623,2,0.4533,0.3952,0.1516,0,2,0,1,2
AAP,2015-03-12,116.2400,148.6400,176.5655,-0.0805,0.0187,0.0063,1,0.4553,0.4494,0.0953,0,0,2,1,0
AAPL,2015-03-12,6018.7400,118.6900,7759.9455,-0.0034,0.0138,0.0213,1,0.2651,0.5314,0.2035,1,1,1,1,2
ABC,2015-03-12,152.6100,100.9200,165.4435,0.0703,0.0066,0.0946,2,0.3121,0.5352,0.1527,1,2,0,1,0
ABT,2015-03-12,246.1600,44.3400,260.8770,0.0515,0.0101,-0.0020,0,0.4733,0.3200,0.2067,0,2,0,0,0
ACN,2015-03-12,190.9700,82.9700,207.2320,0.0028,0.0109,0.0851,2,0.4276,0.1882,0.3841,0,1,1,0,0
ADBE,2015-03-12,130.2800,77.4000,155.7335,0.0601,0.0130,-0.0112,0,0.3151,0.5557,0.1292,1,2,0,2,0
ADI,2015-03-12,58.1300,53.9500,103.2235,0.0409,0.0126,0.1170,2,0.3096,0.4609,0.2295,1,2,0,1,0
ADM,2015-03-12,165.4500,43.0400,153.9715,-0.0002,0.0122,0.0283,1,0.3911,0.3268,0.2822,0,1,1,1,2
ADP,2015-03-12,102.8700,81.4700,176.8765,0.0007,0.0119,-0.0005,0,0.2783,0.4736,0.2481,1,1,1,2,2
ADS,2015-03-12,94.8400,280.8400,117.0360,0.0136,0.0119,0.0613,2,0.3494,0.4492,0.2014,1,1,1,1,2
ADSK,2015-03-12,110.7200,60.1400,142.9000,0.0316,0.0183,0.0432,2,0.4311,0.3845,0.1844,0,2,0,1,0
AEE,2015-03-12,67.6700,37.8600,93.3045,-0.0071,0.0147,0.0085,1,0.2727,0.3289,0.3984,2,1,1,1,0
AEP,2015-03-12,126.3200,50.7100,170.9510,-0.0396,0.0143,0.0075,1,0.3654,0.3464,0.2882,0,0,2,1,2
AES,2015-03-12,84.0600,10.8700,90.5315,0.0140,0.0202,0.0911,2,0.4449,0.4795,0.0756,1,1,1,1,2
AET,2015-03-12,233.4700,99.3000,213.2155,0.0586,0.0114,0.0592,2,0.2468,0.6064,0.1469,1,2,0,2,0
AFL,2015-03-12,101.6100,58.9700,124.2490,0.0197,0.0087,0.0298,1,0.1792,0.5833,0.2375,1,1,1,2,2
AGN,2015-03-12,1220.7300,295.9500,1085.7040,0.0763,0.0136,-0.0129,0,0.3381,0.3842,0.2777,1,2,0,0,0
AIG,2015-03-12,327.3300,52.9400,540.7965,0.0667,0.0116,0.0178,1,0.4153,0.3800,0.2046,0,2,0,0,0
AIV,2015-03-12,39.3300,35.5300,44.7610,0.0128,0.0161,-0.0175,0,0.3731,0.4589,0.1681,1,1,1,2,0
AJG,2015-03-12,32.0400,43.4200,42.3005,0.0100,0.0087,0.0154,1,0.1440,0.7082,0.1478,1,1,1,0,2
AKAM,2015-03-12,102.5700,71.0200,132.5165,0.1140,0.0185,0.0061,1,0.4388,0.4322,0.1291,0,2,0,0,2
ALB,2015-03-12,51.1200,51.4200,64.2210,0.0144,0.0101,0.0951,2,0.3169,0.1574,0.5257,2,1,1,2,0
ALGN,2015-03-12,29.6000,56.9900,36.0625,0.0213,0.0111,-0.0474,0,0.6053,0.2244,0.1703,0,1,1,2,0
ALK,2015-03-12,89.9000,64.5500,92.6635,0.0437,0.0162,-0.0473,0,0.3297,0.4217,0.2486,1,2,0,2,2
ALL,2015-03-12,115.1400,67.2000,148.9775,-0.0068,0.0091,0.0231,1,0.2912,0.4856,0.2232,1,1,1,1,0
ALXN,2015-03-12,181.8100,178.0000,177.9915,0.0259,0.0169,0.0263,1,0.5607,0.3027,0.1366,0,2,0,0,2
AMAT,2015-03-12,340.1700,22.8400,383.2670,-0.0159,0.0169,-0.0534,0,0.4188,0.3684,0.2129,0,0,2,2,2
AMD,2015-03-12,38.2200,2.7600,31.4970,-0.1010,0.0168,0.0000,0,0.2316,0.4916,0.2767,1,0,2,0,2
AME,2015-03-12,30.8100,51.1300,55.3735,0.0454,0.0096,0.0278,1,0.4662,0.3481,0.1857,0,2,0,1,0
AMG,2015-03-12,62.0900,213.3100,77.1990,0.0040,0.0114,0.0181,1,0.4714,0.3434,0.1852,0,1,1,2,0
AMGN,2015-03-12,291.4400,145.0200,483.4005,0.0074,0.0095,0.0592,2,0.3640,0.4744,0.1616,1,1,1,1,0
AMT,2015-03-12,214.8700,91.1900,374.2865,0.0032,0.0145,-0.0081,0,0.3364,0.5208,0.1428,1,1,1,0,2
AMZN,2015-03-12,1051.6100,374.2400,1018.4135,-0.0024,0.0133,0.0225,1,0.3198,0.5939,0.0863,1,1,1,1,0
ANSS,2015-03-12,35.9700,84.9000,31.9250,-0.0040,0.0076,0.0431,2,0.4222,0.3743,0.2035,0,1,1,2,2
ANTM,2015-03-12,270.8200,141.2300,211.7840,0.0466,0.0090,0.0438,2,0.3160,0.2765,0.4075,2,2,0,2,0
AON,2015-03-12,99.8900,95.1100,113.2775,-0.0180,0.0091,-0.0003,0,0.2695,0.5300,0.2005,1,0,2,1,0
AOS,2015-03-12,32.1200,30.5900,26.1750,0.0132,0.0089,0.0304,1,0.3509,0.4610,0.1881,1,1,1,0,2
APA,2015-03-12,199.9000,57.6200,280.3480,-0.0706,0.0183,0.1274,2,0.2008,0.4915,0.3078,1,0,2,1,2
APC,2015-03-12,232.4200,76.7300,393.9700,-0.0836,0.0136,0.1524,2,0.2015,0.3219,0.4767,2,0,2,0,0
APD,2015-03-12,112.1300,142.4300,124.7750,0.0218,0.0095,-0.0037,0,0.2143,0.4887,0.2970,1,1,1,1,2
APH,2015-03-12,40.4700,56.9200,52.8400,0.0515,0.0086,0.0216,1,0.2196,0.5162,0.2642,1,2,0,1,2
ARE,2015-03-12,39.3800,89.3500,43.6550,0.0277,0.0147,-0.0177,0,0.3245,0.4046,0.2710,1,2,0,1,2
ARNC,2015-03-12,298.0000,30.1000,336.7110,-0.1074,0.0215,-0.0472,0,0.7124,0.1554,0.1322,0,0,2,1,0
ATVI,2015-03-12,143.1200,22.2400,131.0840,0.0054,0.0096,0.0162,1,0.3451,0.5105,0.1444,1,1,1,0,2
AVB,2015-03-12,162.6000,157.7800,144.8485,0.0046,0.0154,-0.0100,0,0.2972,0.3637,0.3391,1,1,1,0,2
AVY,2015-03-12,21.6400,49.1000,27.9015,-0.0097,0.0085,0.0326,2,0.2685,0.4389,0.2926,1,1,1,2,0
AXP,2015-03-12,765.5700,77.9100,930.1775,-0.0517,0.0207,-0.0209,0,0.2816,0.5612,0.1572,1,0,2,0,2
AYI,2015-03-12,22.8000,160.0100,48.0555,0.0016,0.0079,0.0364,2,0.3658,0.0763,0.5579,2,1,1,1,0
AZO,2015-03-12,155.9900,652.7600,180.2775,0.0520,0.0082,0.0750,2,0.5254,0.3534,0.1212,0,2,0,2,2
BA,2015-03-12,450.8100,140.3600,714.3445,0.0278,0.0128,0.0154,1,0.3411,0.3889,0.2700,1,2,0,0,2
BAC,2015-03-12,2033.4000,15.5300,1543.0290,-0.0133,0.0139,-0.0232,0,0.3375,0.2209,0.4416,2,1,1,1,0
BAX,2015-03-12,222.6300,35.0400,257.6390,-0.0312,0.0097,0.0534,2,0.5772,0.2455,0.1773,0,0,2,1,2
BBT,2015-03-12,200.6000,35.9700,139.1490,0.0423,0.0125,0.0014,0,0.2150,0.4649,0.3201,1,2,0,2,0
BBY,2015-03-12,170.5000,37.3100,197.3825,0.0681,0.0113,-0.0504,0,0.3574,0.3564,0.2862,0,2,0,2,2
BDX,2015-03-12,155.8700,137.3100,169.4090,0.0128,0.0118,0.0012,0,0.2292,0.3771,0.3937,2,1,1,2,2
BEN,2015-03-12,104.1500,50.5700,95.6155,-0.0053,0.0125,-0.0233,0,0.3184,0.2989,0.3827,2,1,1,2,2
BIIB,2015-03-12,633.2700,407.6400,527.4665,0.0452,0.0110,0.0442,2,0.2820,0.5667,0.1514,1,2,0,1,2
BK,2015-03-12,295.0500,38.5700,243.0840,0.0335,0.0105,0.0104,1,0.3488,0.4105,0.2407,1,2,0,1,0
BLK,2015-03-12,174.9100,346.2000,197.3245,0.0027,0.0111,0.0020,0,0.3853,0.3929,0.2218,1,1,1,0,0
BLL,2015-03-12,60.3100,34.3000,120.0260,-0.0322,0.0168,0.0353,2,0.5077,0.2033,0.2890,0,0,2,0,0
BMY,2015-03-12,503.6500,62.2700,407.0715,0.1236,0.0165,-0.0244,0,0.5161,0.3025,0.1813,0,2,0,1,2
